7 -11 S O S E S N S E S N N N O O N S N S N O 0 
-18 12 S N O E E N O E O S E S E N O E E S O E 0 
2 16 S N O S O O O O S N S N E E E S N O N E 0 
-1 -5 O O N O S S E S N S S S O S O N S S S E 0 
19 -19 N N S E N N N E E N N O S O N S E E E E 0 
5 -10 E E E N O O N S S O N N E O S N O S O S 0 
1 -20 O E N S O E E O O E E O S N O O O S O S 0 
-6 4 S S N E N N N E O E N S S N O E O O E O 0 
14 5 N S E S E E N S N E S E O S N S S S N N 0 
-18 20 N E O E E N S S S O N E E E N N E E N S 0 
-3 -10 S E N O N S O O O O S O E E N O E N E N 0 
1 7 S E N S E O S E S E N S O S E O O N S O 0 
20 -7 O N O N N N O O N N E E O S E S E N E O 0 
11 15 O E E S E E S O S N N O O E E N E S N S 0 
4 6 E S S N S N E S O E O O O O N E E E N E 0 
0 -20 E N O N O O S S S O O S E N O S O O O E 0 
8 -17 E S E O E S S O N S O N N E N N S N N N 0 
20 0 E E S S O S E S E E N O N N O E E E N E 0 
12 6 O S N N E N N N O N N N O O O N O O N O 0 
3 1 N S N S E E N N N O E N O O S S E S E O 0 
8 -20 E S N O E S E O S O S S S N N S S S O E 0 
-1 5 S E O S O O E N E E O S S S S S E E E O 0 
19 -6 O N E N O S O N O E N O O E E S S O O S 0 
-18 3 O O S N N E S S E E E O N E O O E N N E 0 
20 -10 S N N O E S N O N E S N O N O N E E S N 0 
5 -6 O N E S N S O N E E N S N N N O S N O N 0 
10 -7 O E E S S E E N N O S N S O E O O N E S 0 
11 -18 O S O N O N N O N N E N O O N N S S O O 0 
18 4 N O O O N S S S S S E S O E O S S N O N 0 
7 11 O E S S O O S E N O E N O S N E E S E O 0 
16 4 O E S E N O E N S S N O N S O E S O S S 0 
16 -2 O S E E S E N O N E E O N S O E E N N E 0 
-16 2 O N E S E S E E O O E O E S E N N N S O 0 
-14 1 S N E S N E O S S O E N O S E O E O S O 0 
-20 12 O N O N E E O E O S N S S N O O S O N S 0 
-11 -3 S E O S E E E O O N S E N O E E S S S E 0 
-2 -6 E N S S S S O N N N S N S S E N N N E O 0 
-16 16 N S E O S N S N E E O N N O S O E N O E 0 
3 8 E O N N S N E O N S N E O E N S S O N O 0 
15 -2 N N S E E E N N O E N O O S E O S E O O 0 
-8 -6 N N E S E O O N E S S O O E N S O S N O 0 
0 -20 N S S O S S S N E N S N O N O S S O E E 0 
19 16 S S S S O O N N S S S N O S O E E E S N 0 
-7 20 O O O E O O S E O S S S E E N E O S O S 0 
-16 11 S N O S E S S N E N O S O S O O N E S E 0 
0 17 E O E N N E E N N N E E S N O S E E E N 0 
-13 -14 O S S N S N O N O E S N N O O S N E O N 0 
1 -6 O E S S S N E N E N O N S N N N E S O N 0 
0 -7 E N E N O O O E E E S N S N E S S E E O 0 
-9 13 O E S N E S N E N N N E E E N N E O E O 0 
-7 17 O O N O E O O N E O E N O S E N E E E O 0 
18 -14 N E N N O O S E O O N O O N O O S S O S 0 
18 11 E E N N N S O N S N S E S N O E E N N S 0 
-3 8 O S E N S E S S O N S N O S N O S S S S 0 
-4 10 E O E S S N S N N O S N S S E S N N E O 0 
